Year,Rank,Title,Author,Review,Description,Price,Tags,Ratings,Genre,barcode,publisher,date
2017,75,임신 출산 육아 대백과(2019~2020)(개정판),삼성출판사 편집부,292,술술 잘 읽히는 첫아기 잘 키우는 법,"16,650",임신출산가이드 분만 산후조리 ,9.6,"['국내도서', '가정/육아', '임신/출산', '임신']",9788915102019,삼성출판사,2019년 07월 01일 출간
2017,76,78층 나무 집(456 Book 클럽)(양장본 HardCover),앤디 그리피스,170,,"10,800",대박 상상력 낙서 젖소 학교 도서관 할리우드 ,9.5,"['국내도서', '어린이(초등)', '어린이문학', '동화책', '외국작가']",9788952784933,시공주니어,2018년 11월 05일 출간(1쇄 2017년 02월 15일)
2017,77,너의 이름은. 1,Makoto Sh,131,,"4,950",판타지만화 로맨스 한국어 애니메이션 여고생 시골 마을 ,9.5,"['국내도서', '만화', 'SF/판타지']",9791133432677,대원씨아이,2016년 12월 31일 출간
2017,78,트렌드 코리아 2017,김난도,121,서울대 소비트렌드분석센터의 2017 전망,"14,400",경제전망,9.1,"['국내도서', '경제/경영', '경제일반', '경제전망']",9788959894239,미래의창,2016년 10월 31일 출간
2017,79,쇼코의 미소,최은영,562,최은영 소설,"10,800",중 단편 소설 소설집 타인 젊은작가상 소설가 작가 상 ,9.5,"['국내도서', '소설', '한국소설', '한국소설일반']",9788954641630,문학동네,2019년 06월 20일 출간(1쇄 2016년 07월 07일)
2017,80,예언(양장본 HardCover),김진명,114,,"13,320",한국현대소설 미스터리 지민 전투기 여동생 피격 ,8.8,"['국내도서', '소설', '한국소설', '한국소설일반']",9791187192466,새움,2017년 07월 10일 출간
2017,81,대통령의 글쓰기,강원국,262,김대중 노무현 대통령에게 배우는 사람을 움직이는 글쓰기 비법,"14,400",서류 작성 글쓰기비법 연설문 옥중 서신 연설 청와대 ,9.6,"['국내도서', '인문', '독서/글쓰기', '글쓰기', '글쓰기일반']",9788994612959,메디치미디어,2017년 05월 25일 출간(1쇄 2014년 02월 25일)
2017,82,너에게 하고 싶은 말,김수민,101,"차마 하지 못했던, 미처 하지 못했던","11,700",위로 공감,9.4,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9788965702917,쌤앤파커스,2015년 12월 11일 출간
2017,83,못 참는 아이 욱하는 부모,오은영,357,,"15,120",육아 자녀교육 심플 훈육 솔루션 감정 조절 ,8.8,"['국내도서', '가정/육아', '자녀교육', '자녀교육일반서']",9788997396658,코리아닷컴,2016년 05월 15일 출간
2017,84,"나, 있는 그대로 참 좋다(몽글몽글 에디션)",조유미,291,자신이 얼마나 아름다운지 모르는 나에게 필요한 마음 주문,"12,420",위로 그림에세이 감성 에세이 일러스트레이터 공감 능력 캐스트 ,9,"['국내도서', '시/에세이', '테마에세이', '그림에세이']",9788968331503,허밍버드,2017년 09월 22일 출간
2017,85,아무것도 아닌 지금은 없다,글배우,170,,"11,700",위로 아이유 샤이니 공감 글귀 진로 ,9.4,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9788965704959,쌤앤파커스,2017년 08월 01일 출간
2017,86,나의 한국현대사,유시민,217,"1959-2014, 55년의 기록","16,200",욕망 민주화 4.19혁명,9,"['국내도서', '역사/문화', '한국사', '근현대사', '한국현대사']",9788971996096,돌베개,2014년 07월 10일 출간
2017,87,한국의 젊은 부자들,이신영,56,무일푼에서 100억 원대 회사 만든 61인의 현재 진행형 성공기,"13,500",장애인 워치 성공법 사회부 국내기업가 기업가 ,8.7,"['국내도서', '경제/경영', '경영일반', '국내기업가']",9791196067601,메이븐,2017년 05월 08일 출간
2017,88,대한민국이 묻는다,문재인,116,"완전히 새로운 나라, 문재인이 답하다","15,300",박근혜 정치가 광장 한국정치 시대 정신 게이트 ,9.6,"['국내도서', '정치/사회', '정치/외교', '정치가']",9788950968847,21세기북스,2017년 01월 20일 출간
2017,89,ETS TOEIC(토익) Test 공식종합서 RC,ETS,88,출제기관 독점 공개,"17,820",영어공부 영어학습,9.4,"['국내도서', '외국어', '수험영어', '토익(Toeic)', 'R/C']",9788917224702,YBM,2016년 05월 06일 출간
2017,90,ETS TOEIC(토익) Test 공식종합서 LC,ETS,97,출제기관 독점 공개,"17,820",영어공부 영어학습,9.4,"['국내도서', '외국어', '수험영어', '토익(Toeic)', 'L/C']",9788917224696,YBM,2016년 05월 06일 출간
2017,91,오두막(100쇄 특별판)(개정판),윌리엄 폴 영,120,모든 순간으로부터 자유로워지는 곳,"12,420",사랑 베스트셀러 소설 하나님 치유 파파 ,9.1,"['국내도서', '소설', '영미소설', '영미소설일반']",9788933870747,세계사,2017년 05월 08일 출간
2017,92,해커스 토익 스타트 리스닝(Hackers TOEIC Start Listening)(신토익 Edition),David Cho,200,"온라인 신토익 모의고사, 받아쓰기&쉐도잉 프로그램","13,410",영어공부 영어학습,9.4,"['국내도서', '외국어', '수험영어', '토익(Toeic)', 'L/C']",9788965421696,해커스어학연구소,2019년 01월 30일 출간(1쇄 2016년 03월 21일)
2017,93,운다고 달라지는 일은 아무것도 없겠지만,박준,451,박준 산문,"10,800",위로 시인 무심 기드온 쑥국 고아 ,9.1,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9791196075170,난다,2017년 07월 01일 출간
